Project,Start Time,End Time,Duration
MIT,2023-11-23T14:00:09.574665,2023-11-23T14:05:34.757024,0:05:25.182359
MIT,2023-11-23T14:05:48.368068,2023-11-23T14:06:02.318839,0:00:13.950771
CLP,2023-11-23T14:06:24.964065,2023-11-23T14:06:53.834434,0:00:28.870369
CLP,2023-11-23T14:15:41.724861,2023-11-23T14:15:56.174894,0:00:14.450033
